County,Shannon,Simpson,Inverse Simpson
ab,0.3874757871298213,0.17362997077602316,1.21011165051457
ag,0.1392944303591306,0.05670815395129658,1.0601172947575428
ar,0.6340548554372492,0.2808068352304879,1.3904470300694267
b,0.16901204793950633,0.05252686593839151,1.0554388974737683
bc,0.18562987605363154,0.07009901218948733,1.0753833075869057
bh,0.8629017336518239,0.4832420932919901,1.9351421371962525
bn,0.39796998419349683,0.1812994637652129,1.2214478380568934
br,0.186635868979476,0.07133196283473797,1.0768110454759239
bt,0.08415869939086547,0.02717073212230725,1.0279295997966658
bv,0.4739882232211701,0.21890884335873606,1.2802603018834018
bz,0.19645661625231461,0.09133304756629179,1.10051322689977
cj,0.6214935708820862,0.3317041348015227,1.4963432396862277
cl,0.30146935687891624,0.15353037559300675,1.1813773006923487
cs,0.5260443538951544,0.1918285658723733,1.2373612302684776
ct,0.4230755872887144,0.1655972092285205,1.198461955137292
cv,0.6976673094266971,0.40557095164431034,1.682286561812888
db,0.24867679491437902,0.11264503190919695,1.1269447244450093
dj,0.20739268090417007,0.09392374164759187,1.103659863926223
gj,0.10685128950192485,0.04133508232765315,1.0431173411748658
gl,0.17017749348161065,0.0702297585998849,1.075534530438539
gr,0.226784951059442,0.10989512334343432,1.1234631179150767
hd,0.29868121836127404,0.12168813463547523,1.1385477521528997
hr,0.4756992671960916,0.2563256714703971,1.3446746265629548
if,0.24573211654330854,0.09948879410954492,1.1104803510037025
il,0.2323567319475738,0.10898242709481942,1.1223123206644288
is,0.13101670722580736,0.04436932778979363,1.0464293676208354
mh,0.23390364714296552,0.09785278396498542,1.1084665365316468
mm,0.6455658713970609,0.30116578669025174,1.4309545539619486
ms,0.9458653029812545,0.5700167838228111,2.3256721713247446
nt,0.08706142749819341,0.030651590009061813,1.031620818369474
ot,0.11384688732412696,0.04597374102968743,1.0481891778107943
ph,0.1281818200642474,0.05022165457280814,1.0528772368991204
sb,0.4000704462487905,0.16949479304955217,1.20408637011672
sj,0.8146039334385728,0.4634024317951293,1.8635939841199656
sm,0.9355815483232849,0.5410291593055845,2.178787651274351
sv,0.2110698501794517,0.073482456597046,1.0793103780066122
tl,0.43022663934174443,0.17143718885619053,1.2069091039936077
tm,0.6173424967079844,0.24048161815006275,1.3166238288589258
tr,0.11167290478255552,0.045500630404901155,1.0476696285553364
vl,0.10549199205140498,0.040202197171238074,1.0418861108587165
vn,0.16576469199736796,0.07309592503501328,1.078860290950576
vs,0.08724045938501285,0.03238735069380738,1.033471400686039
