Code,Localitate,Shannon,Simpson,Inverse Simpson
1017,Municipiul Alba Iulia,0.21697787568231894,0.0793199093859076,1.0861536055732468
1071,Ciugud,0.04324458231362433,0.012775976990503923,1.0129413149323059
1151,Oras Abrud,0.07188986815877803,0.022515572793182725,1.02303420102305
1213,Municipiul Aiud,0.6172541869797761,0.3377167255681206,1.5099279094097933
1348,Municipiul Blaj,0.557939453332671,0.28046055638950473,1.3897778765014097
1455,Oras Campeni,0.1336526101904815,0.05761144494647841,1.0611334301945194
1696,Oras Cugir,0.22099635430491113,0.08833794792035599,1.0968976911113535
1794,Oras Ocna Mures,0.5632453773649105,0.28847563030775847,1.4054332396689857
1874,Municipiul Sebes,0.2805483431125468,0.11821158858368119,1.1340589046683105
1936,Oras Zlatna,0.22606979136775768,0.10144144046593861,1.112893521952025
2130,Albac,0.08543810860182788,0.03309675522007649,1.034229645415669
2309,Almasu Mare,0.030132436345304568,0.009448605992629533,1.0095387337293062
2381,Arieseni,0.01276313153495814,0.003464192803938726,1.0034762351527395
2577,Avram Iancu,0.33499420233938537,0.18725874307854662,1.2304038849803882
2915,Oras Baia De Aries,0.03170656643487512,0.010035163905653066,1.010136889250778
2988,Berghin,0.2939448604575742,0.12345399303162896,1.1408414299422889
3039,Bistra,0.03516389021123107,0.011345217281351738,1.0114754082817
3397,Blandiana,0.09095862014156512,0.03574234346870009,1.0370672125096472
3459,Bucium,-0.0,0.0,1.0
3761,Cenade,0.5158942577759259,0.2616143289466084,1.3543058041380809
3805,Cergau,0.3793084722542086,0.2207092416857359,1.2832180920035121
3841,Ceru-Bacainti,-0.0,0.0,1.0
3958,Cetatea De Balta,1.0483384624671515,0.6217790043683864,2.6439568705857828
4008,Ciuruleasa,-0.0,0.0,1.0
4106,Calnic,0.5847291648081275,0.38384213991607785,1.6229607131260122
4142,Cricau,0.09429925297324868,0.03426218412553106,1.035477728595009
4188,Craciunelu De Jos,0.18270962908742056,0.07452342484288477,1.0805243772163906
4240,Daia Romana,0.018039808209698752,0.0051755658997880705,1.0052024917386244
4268,Dostat,0.11651011918336929,0.048544348869024034,1.0510211367301465
4302,Farau,0.7131810368581855,0.4208525941844655,1.7266761276290896
4366,Galda De Jos,0.27062230083658845,0.13363039458556192,1.1542417852039468
4482,Garbova,0.39494728961801084,0.190050629544268,1.2346450734782752
4525,Garda De Sus,-0.0,0.0,1.0
4703,Hoparta,0.5119167257891248,0.30602020661143225,1.440964145536854
4767,Horea,0.15192152097268763,0.06766613053103265,1.0725771451052974
4927,Ighiu,0.15385307234537027,0.06181930911009548,1.0658927536138665
4981,Intregalde,-0.0,0.0,1.0
5103,Jidvei,0.7119451935089546,0.4146940747075307,1.7085082463505112
5167,Livezile,0.05984092166950026,0.01871811873067475,1.019075170028068
5210,Lopadea Noua,0.7113265016381164,0.5015176432931203,2.0060890552000528
5309,Lunca Muresului,0.8974245618893981,0.5304777407388725,2.12982447642348
5336,Lupsa,-0.0,0.0,1.0
5577,Metes,0.03495776324846581,0.00998355715719701,1.0100842336805331
5700,Mihalt,0.08176629776156955,0.028682660701241813,1.0295296496219755
5755,Miraslau,0.753603335435751,0.4609258529576348,1.8550323837388758
5826,Mogos,-0.0,0.0,1.0
6048,Noslac,0.5850183930929658,0.3182708121231107,1.4668581275129238
6119,Ocolis,-0.0,0.0,1.0
6164,Ohaba,0.12182417163962067,0.05131569075928977,1.0540914298459947
6217,Pianu,0.04847974828391938,0.013858229143946743,1.014052978540719
6271,Poiana Vadului,-0.0,0.0,1.0
6397,Ponor,-0.0,0.0,1.0
6468,Posaga,-0.0,0.0,1.0
6547,Radesti,0.5929716148578166,0.34296073570953434,1.5219790571875433
6592,Rametea,0.40830091560700565,0.23367761530671616,1.304933824163631
6627,Ramet,-0.0,0.0,1.0
6761,Rosia Montana,0.40155661618215976,0.22951025229727817,1.2978758029961874
6930,Rosia De Secas,0.238964240738282,0.10554423328598117,1.117998270248423
6976,Salciua,-0.0,0.0,1.0
7044,Salistea,-0.0,0.0,1.0
7099,Sasciori,0.0442254079015119,0.013616463895228526,1.0138044314374912
7197,Scarisoara,0.4349609564566659,0.2649464513283012,1.3604451020025423
7348,Sancel,0.22612202024357614,0.10512811407358058,1.117478396323454
7384,Santimbru,0.13238188542973867,0.04894849412136293,1.0514677636477128
7446,Sohodol,0.11455834515028669,0.04753557736676117,1.0499079821116484
7767,Stremt,0.032029602415930496,0.01015631600877187,1.010260525144556
7810,Sibot,0.1446648641446663,0.06362534626038796,1.0679485994268283
7865,Sona,0.7709217329644924,0.44785553944728584,1.811120225672405
7945,Spring,0.19983742703085056,0.08251473177172475,1.0899357566046441
8014,Sugag,0.020625363780945764,0.006051381478812123,1.0060882236426019
8096,Oras Teius,0.45216123974196143,0.22043694811579972,1.2827698767700761
8158,Unirea,0.7676980533229179,0.427839022387282,1.7477598772506222
8229,Vadu Motilor,-0.0,0.0,1.0
8354,Valea Lunga,0.3113652149587083,0.13091046489790825,1.1506294341497625
8425,Vidra,0.013558971840302553,0.003715157411227299,1.0037290112751025
8826,Vintu De Jos,0.16402668245016513,0.058800468618319335,1.0624739671640084
9019,Cut,0.08200297558882677,0.031473429802056696,1.0324961965634296
9026,Bucerdea Granoasa,0.8632786042730511,0.49849473247883025,1.9939970021507054
9262,Municipiul Arad,0.5534393314478485,0.253005829810137,1.3386985332774828
9280,Fantanele,0.5411327853067436,0.24166143610235113,1.3186722232089565
9333,Livada,0.39875792322424086,0.18857769262298973,1.2324038800862929
