Regiune,Shannon,Simpson,Inverse Simpson
Bucuresti-Ilfov,0.18564657558036723,0.061112402848260805,1.0650902227632517
Centru,0.8262953098216655,0.491866715641048,1.9679875945571534
Nord-Est,0.1475284567367498,0.04943677022802018,1.0520078714173269
Nord-Vest,0.7743048499908298,0.4021799653775955,1.6727442074296166
Sud,0.18909503118830776,0.08235834440569989,1.0897500063381076
Sud-Est,0.29954199669031817,0.10940041001074996,1.1228390527465553
Sud-Vest,0.16045172386461146,0.06633642637648107,1.0710496031445582
Vest,0.5601131404551142,0.2169266955254875,1.2770196535700549
