Country,CountryCode,Continent,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test,InternetPenetration,InternetUsers,UploadSpeed,Download,FixedBroadbandSubscriptions,ChargesIntellProperty,GovernmentExpenditureOnEducation,GrossEnrolmentRatio,HighTechnologyExports,GINIindex,IncomeShareLow20,SurveyMeanIncome,Unemployment,UnemploymentTertiaryEducation,GDP_BM
Bolivia,BOL,SA,2.415414126,0.055104505,2.810329744,0.15612943,2.185812023,0.055104505,4.00426068,0.101024925,39.5,45.1,1.34,2.42,1.592812978,6.36711587,7.289140224,NA,12.83881006,48.4,3.59,13.69,2.700000048,28.29999924,3094
Brazil,BRA,SA,1.09129298,0.027675992,0.86415898,0.024335786,1.231581628,0.063463912,1.164300338,0.063941084,51.6,59.07947791,3.97,12.65,11.67573652,28.49519263,5.914309978,46.44657898,12.30504082,51.48,3.62,18.53,6.800000191,6.599999905,8538
Barbados,BRB,NA,3.508698062,0,6.315656512,0,2.80695845,0,7.719135737,0,75,76.11,NA,NA,27.1720512,42.70592161,6.711790085,65.43222809,18.34739621,NA,NA,NA,12,8.699999809,15896
Brunei Darussalam,BRN,AS,0.932674865,0,0.699506149,0,1.399012297,0,1.632181014,0,64.5,71.2,4.24,5.4,7.149962784,17.90753644,3.765949965,31.72533989,7.762844701,NA,NA,NA,3.799999952,6.800000191,NA
Bhutan,BTN,AS,2.16808251,0,11.09548108,0.637671326,4.718767815,0,5.101370611,0,29.9,39.8,4.22,4.81,3.26287437,0.858301796,5.903349876,10.92693043,0.023029919,38.81,6.73,8.08,2.799999952,32.40000153,2515
Botswana,BWA,AF,0.434061689,0,0.39065552,0,0.217030844,0,0.347249351,0,15,27.5,3.43,3.7,1.632993833,4.017821506,9.632920265,27.51321983,0.233371585,60.46,2.84,NA,18.20000076,6.099999905,6368
Central African Republic,CAF,AF,0.02000603,0,0.02000603,0,0,0,0.02000603,0,3.5,4.563264352,NA,NA,0.013369548,NA,1.228620052,2.774159908,0.038264507,56.24,3.33,NA,7.400000095,2.099999905,307
Canada,CAN,NA,9.287231699,0.217712553,9.780529762,0.407866555,7.619939361,0.322435047,10.29311881,0.65864937,85.8,88.47,6.28,24.23,35.37816978,308.8915673,5.27244997,NA,13.86650612,33.68,7.1,NA,6.900000095,36.70000076,43251
Switzerland,CHE,EU,6.193703975,0.143207028,2.673197862,0.501224599,5.131585181,0.381885409,5.453800995,0.525092437,86.7,87.97,8.7,46.32,42.47296117,1693.53662,5.053309917,57.22953033,26.83805522,31.64,8.09,66.19,4.5,26.60000038,80186
Channel Islands,CHI,EU,0.973709834,0,0.973709834,0,0.973709834,0,2.921129503,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,SA,0.634243058,0.011030314,0.590121802,0.016545471,0.645273373,0.027575785,0.937576695,0.071697041,66.5,64.289,3.59,15.66,14.00852457,86.28067954,4.557439804,86.63069916,5.898681249,50.45,4.63,23.68,6.400000095,21.79999924,13383
China,CHN,AS,0.154450117,0.003472415,0.084857137,0.003978809,0.13918596,0.006655462,0.112564113,0.00694483,45.8,50.3,11.98,24.23,14.38408129,16.49173786,1.895930052,39.39038849,25.37201158,42.16,5.23,NA,4.699999809,NA,7925
Cameroon,CMR,AF,0.263329411,0,0.246610083,0.008359664,0.430522688,0.02089916,0.530838654,0.004179832,6.4,20.68014766,NA,NA,0.07120497,0.335906854,3.028340101,11.92603016,4.915212246,46.54,4.53,5.27,4.300000191,NA,1251
"Congo, Dem. Rep.",COD,AF,0.003763047,0,0,0,0.003763047,0.001254349,0.005017396,0,6.6,3.799999507,NA,NA,0.000720875,0.138952633,2.244750023,6.640759945,NA,42.1,5.54,1.51,8,NA,1851
"Congo, Rep.",COG,AF,0.10546316,0,0.063277896,0,0.126555793,0.042185264,0.126555793,0,2.2,7.615974662,NA,NA,0.010968294,NA,6.220789909,9.718799591,1.98498516,48.94,4.2,3.86,6.5,NA,455
Colombia,COL,SA,1.0029927,0.022608442,1.097537094,0.032885007,1.381170275,0.080157203,1.502433737,0.053438136,51.7,55.90497251,3.09,6.66,10.27718213,10.37936536,4.670800209,51.29100037,7.711730243,53.5,3.36,14.82,10.10000038,24.39999962,6056
Comoros,COM,AF,0,0,0.123897621,0,0.123897621,0,0,0,6.5,7.459161386,NA,NA,0.210382782,NA,5.071119785,8.928420067,0.118484821,55.93,4.01,NA,6.5,NA,790
Cabo Verde,CPV,AF,0.189755841,0,0,0,0.189755841,0,0.569267523,0,37.5,43.01962636,NA,NA,3.442955939,9.205154993,5.036930084,22.98217964,0,47.19,4.97,NA,9.199999809,NA,3135
Costa Rica,CRI,NA,4.179347108,0.164703334,4.405814192,0.082351667,4.076407524,0.144115418,4.096995441,0.123527501,46,59.76295014,2.04,5.1,10.44723766,89.55411015,7.011640072,53.03828049,43.32211704,48.53,4.2,22.23,8.300000191,13.5,10625
Curacao,CUW,NA,0,0,1.260755823,0,0,0,0.630377912,0,NA,NA,NA,NA,23.95387924,184.6643732,4.929900169,20.31263924,NA,NA,NA,NA,NA,NA,58808
Cayman Islands,CYM,NA,1.645711276,1.645711276,4.937133829,0,1.645711276,0,3.291422553,0,74.1,77,NA,NA,39.62617769,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
Cyprus,CYP,EU,6.119337276,0.424953977,6.544291253,0.424953977,4.589502957,0.424953977,7.649171595,0.254972386,65.5,71.7159,2.13,8.78,21.12738475,NA,6.64467001,53.10435104,6.153058553,34.31,7.99,46.91,15.60000038,34.5,22957
